"subject","campus[Alpha Roster for Cross Joins]","alphalevelshort","Knowledge Grade vs. Age Grade"
"Writing","Alpha School San Francisco","L2",2
"Writing","Alpha School San Francisco","MS",-3.2
"Writing","Alpha School Santa Barbara","HS",-2
"Writing","Alpha School Santa Barbara","L2",-1
"Writing","Alpha School Santa Barbara","MS",-3
"Writing","Alpha School Scottsdale","L1",0
"Writing","Alpha School Scottsdale","L2",-1.25
"Writing","Alpha School Scottsdale","MS",-1.6666
"Writing","GT School","L1",0.5
"Writing","GT School","L2",0.4
"Writing","GT School","MS",-3
"Writing","Montessorium Cedar Park","L1",0
"Writing","NextGen Academy","L2",-0.6666
"Writing","NextGen Academy","MS",-2
"Writing","Nova Academy Bastrop","L1",0
"Writing","Nova Academy Bastrop","L2",-2
"Writing","Nova Academy Bastrop","MS",-2.5
"Writing","Texas Sports Academy","L1",0.5
"Writing","Texas Sports Academy","L2",-1
"Writing","Texas Sports Academy","MS",-1.6
